rank,user,user_href,elo,gxe,rating
355,CCQB,/users/ccqb,1582,70.2%,1662 ± 39
356,iseral,/users/iseral,1582,73.9%,1699 ± 66
357,Mr-Mongol,/users/mrmongol,1582,74.6%,1704 ± 49
358,DisasterBruhMoment,/users/disasterbruhmoment,1582,81.2%,1781 ± 74
359,Nerdgamer4,/users/nerdgamer4,1582,70.3%,1663 ± 35
360,penguini7,/users/penguini7,1582,79.6%,1760 ± 60
361,Tigertom91,/users/tigertom91,1582,70.6%,1666 ± 35
362,cheelu,/users/cheelu,1581,69.7%,1657 ± 37
363,hollylands,/users/hollylands,1581,68.8%,1651 ± 57
364,Jubilyf City,/users/jubilyfcity,1581,80.8%,1774 ± 57
365,Idkmamidk,/users/idkmamidk,1581,78.2%,1743 ± 50
366,hoZerChan,/users/hozerchan,1581,77.7%,1737 ± 56
367,Tessera,/users/tessera,1580,78.5%,1745 ± 43
368,zerodragon123,/users/zerodragon123,1580,85.6%,1844 ± 74
369,Penter,/users/penter,1580,80.5%,1767 ± 25
370,dou adlib,/users/douadlib,1580,82.7%,1800 ± 63
371,analysis_boi,/users/analysisboi,1580,71.7%,1675 ± 33
372,Agesanamon,/users/agesanamon,1580,68.0%,1642 ± 38
373,allmightyalt,/users/allmightyalt,1580,67.3%,1637 ± 40
374,do u add nicknames,/users/douaddnicknames,1580,83.1%,1804 ± 64
375,ILOVEPECHARUNTRAH,/users/ilovepecharuntrah,1580,74.5%,1704 ± 55
376,arapiroca,/users/arapiroca,1580,71.1%,1671 ± 51
377,DLTIC Pablo,/users/dlticpablo,1579,87.1%,1865 ± 62
378,DOUFLManeSupporter,/users/douflmanesupporter,1579,85.9%,1847 ± 71
379,tianlengmeihou,/users/tianlengmeihou,1579,79.8%,1762 ± 61
380,Dominator296,/users/dominator296,1579,69.3%,1653 ± 29
381,Celedric,/users/celedric,1579,69.3%,1654 ± 41
382,Zonnoz,/users/zonnoz,1579,81.4%,1787 ± 93
383,douadblock,/users/douadblock,1578,83.2%,1807 ± 66
384,DOUAD meow,/users/douadmeow,1578,82.0%,1790 ± 64
385,VraelValorum,/users/vraelvalorum,1578,70.4%,1665 ± 49
386,eteleks0-2,/users/eteleks02,1578,70.5%,1665 ± 29
387,Tanaka21,/users/tanaka21,1578,61.4%,1588 ± 34
388,El_Shiavo,/users/elshiavo,1578,74.2%,1699 ± 28
389,DOUAD fangame10,/users/douadfangame10,1578,82.7%,1799 ± 63
390,Kylecole,/users/kylecole,1578,80.4%,1769 ± 61
391,terabad,/users/terabad,1578,87.3%,1870 ± 70
392,justudoingtesting,/users/justudoingtesting,1578,78.0%,1739 ± 42
393,DLTIC Akaruyo,/users/dlticakaruyo,1578,85.3%,1835 ± 62
394,DLTIC SkewdaMan,/users/dlticskewdaman,1577,86.6%,1858 ± 67
395,DLTIC epinaoi,/users/dlticepinaoi,1577,86.2%,1850 ± 59
396,hiiamchoketime,/users/hiiamchoketime,1576,78.9%,1750 ± 53
397,nghien,/users/nghien,1576,61.9%,1591 ± 30
398,Chippytreatz,/users/chippytreatz,1576,70.5%,1665 ± 34
399,YoJne,/users/yojne,1576,66.3%,1627 ± 34
400,DLTIC tyo,/users/dltictyo,1575,86.7%,1859 ± 64
401,AzaleaPatch,/users/azaleapatch,1575,67.9%,1642 ± 45
